146,G2,1pg,cherry
147,G3,10pg,cherry
148,G4,Cat+MAG,cherry
149,G5,Cat-MAG,cherry
150,G6,Dog+MAG,cherry
151,G7,100fg,dog1
152,G8,1pg,dog1
153,G9,10pg,dog1
154,G10,Cat+MAG,dog1
155,G11,Cat-MAG,dog1
156,G12,Dog+MAG,dog1
157,G13,100fg,dog2
158,G14,1pg,dog2
159,G15,10pg,dog2
160,G16,Cat+MAG,dog2
161,G17,Cat-MAG,dog2
162,G18,Dog+MAG,dog2
163,G19,100fg,flower
164,G20,1pg,flower
165,G21,10pg,flower
166,G22,Cat+MAG,flower
167,G23,Cat-MAG,flower
168,G24,Dog+MAG,flower
169,H1,100fg,cherry
170,H2,1pg,cherry
171,H3,10pg,cherry
172,H4,Dog-MAG,cherry
173,H5,18+,cherry
174,H6,18-,cherry
175,H7,100fg,dog1
176,H8,1pg,dog1
177,H9,10pg,dog1
178,H10,Dog-MAG,dog1
179,H11,18+,dog1
180,H12,18-,dog1
181,H13,100fg,dog2
182,H14,1pg,dog2
183,H15,10pg,dog2
184,H16,Dog-MAG,dog2
185,H17,18+,dog2
186,H18,18-,dog2
187,H19,100fg,flower
188,H20,1pg,flower
189,H21,10pg,flower
190,H22,Dog-MAG,flower
191,H23,18+,flower
192,H24,18-,flower
193,I1,100fg,cherry
194,I2,1pg,cherry
195,I3,10pg,cherry
196,I4,OR+,cherry
197,I5,OR-,cherry
198,I6,Blank2,cherry
199,I7,100fg,dog1
200,I8,1pg,dog1
201,I9,10pg,dog1
202,I10,OR+,dog1
203,I11,OR-,dog1
204,I12,Blank2,dog1
205,I13,100fg,dog2
206,I14,1pg,dog2
207,I15,10pg,dog2
208,I16,OR+,dog2
209,I17,OR-,dog2
210,I18,Blank2,dog2
211,I19,100fg,flower
212,I20,1pg,flower
213,I21,10pg,flower
214,I22,OR+,flower
215,I23,OR-,flower
216,I24,Blank2,flower
217,J1,100fg,House
218,J2,1pg,House
219,J3,10pg,House
220,J4,Cat+MAG,House
221,J5,Cat-MAG,House
222,J6,Dog+MAG,House
223,J7,100fg,Lincoln
224,J8,1pg,Lincoln
225,J9,10pg,Lincoln
226,J10,Cat+MAG,Lincoln
227,J11,Cat-MAG,Lincoln
228,J12,Dog+MAG,Lincoln
229,J13,100fg,lion
230,J14,1pg,lion
231,J15,10pg,lion
232,J16,Cat+MAG,lion
233,J17,Cat-MAG,lion
234,J18,Dog+MAG,lion
235,J19,100fg,sailboat
236,J20,1pg,sailboat
237,J21,10pg,sailboat
238,J22,Cat+MAG,sailboat
239,J23,Cat-MAG,sailboat
240,J24,Dog+MAG,sailboat
241,K1,100fg,House
242,K2,1pg,House
243,K3,10pg,House
244,K4,Dog-MAG,House
245,K5,18+,House
246,K6,18-,House
247,K7,100fg,Lincoln
248,K8,1pg,Lincoln
249,K9,10pg,Lincoln
250,K10,Dog-MAG,Lincoln
251,K11,18+,Lincoln
252,K12,18-,Lincoln
253,K13,100fg,lion
254,K14,1pg,lion
255,K15,10pg,lion
256,K16,Dog-MAG,lion
257,K17,18+,lion
258,K18,18-,lion
259,K19,100fg,sailboat
260,K20,1pg,sailboat
261,K21,10pg,sailboat
262,K22,Dog-MAG,sailboat
263,K23,18+,sailboat
264,K24,18-,sailboat
265,L1,100fg,House
266,L2,1pg,House
267,L3,10pg,House
268,L4,OR+,House
269,L5,OR-,House
270,L6,Blank2,House
271,L7,100fg,Lincoln
272,L8,1pg,Lincoln
273,L9,10pg,Lincoln
274,L10,OR+,Lincoln
275,L11,OR-,Lincoln
276,L12,Blank2,Lincoln
277,L13,100fg,lion
278,L14,1pg,lion
279,L15,10pg,lion
280,L16,OR+,lion
281,L17,OR-,lion
282,L18,Blank2,lion
283,L19,100fg,sailboat
284,L20,1pg,sailboat
285,L21,10pg,sailboat
286,L22,OR+,sailboat
287,L23,OR-,sailboat
288,L24,Blank2,sailboat
289,M1,100fg,tiger
290,M2,1pg,tiger
291,M3,10pg,tiger
292,M4,Cat+MAG,tiger
293,M5,Cat-MAG,tiger
294,M6,Dog+MAG,tiger
295,M7,100fg,tree
296,M8,1pg,tree
297,M9,10pg,tree
298,M10,Cat+MAG,tree
299,M11,Cat-MAG,tree
300,M12,Dog+MAG,tree
301,M13,100fg,washington
