Block Type,384-Well Block,,,,,,
Calibration Background is expired,Yes,,,,,,
Calibration Background performed on,05-01-2018,,,,,,
Calibration Normalization FAM-ROX is expired,Yes,,,,,,
Calibration Normalization FAM-ROX performed on,05-01-2018,,,,,,
Calibration Normalization VIC-ROX is expired,Yes,,,,,,
Calibration Normalization VIC-ROX performed on,05-01-2018,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,
Calibration Pure Dye FAM performed on,05-01-2018,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,
Calibration Pure Dye NED performed on,05-01-2018,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,
Calibration Pure Dye ROX performed on,05-01-2018,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,
Calibration Pure Dye SYBR performed on,05-01-2018,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,
Calibration Pure Dye TAMRA performed on,05-01-2018,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,
Calibration Pure Dye VIC performed on,05-01-2018,,,,,,
76,D4,Cat+MAG,canoe,30.564,84.115,79.119,
77,D5,Cat-MAG,canoe,30.274,74.518,79.119,65.578
78,D6,Dog+MAG,canoe,29.068,77.936,83.852,
79,D7,100fg,cat1,9.176,76.095,,
80,D8,1pg,cat1,9.188,76.227,,
81,D9,10pg,cat1,8.994,76.095,,
82,D10,Cat+MAG,cat1,9.201,76.227,,
83,D11,Cat-MAG,cat1,9.202,76.358,,
84,D12,Dog+MAG,cat1,9.147,76.227,,
85,D13,100fg,cat2,19.074,86.482,,
86,D14,1pg,cat2,25.729,74.781,,
87,D15,10pg,cat2,12.270,86.350,,
88,D16,Cat+MAG,cat2,24.652,86.087,,
89,D17,Cat-MAG,cat2,25.247,74.781,86.219,
90,D18,Dog+MAG,cat2,24.448,86.087,74.123,
91,D19,100fg,cat3,19.793,87.665,,
92,D20,1pg,cat3,28.013,78.199,87.402,
93,D21,10pg,cat3,12.752,87.665,,
94,D22,Cat+MAG,cat3,11.756,87.402,,
95,D23,Cat-MAG,cat3,15.051,87.533,,
96,D24,Dog+MAG,cat3,12.242,87.402,,
97,E1,100fg,canoe,16.492,84.247,,
98,E2,1pg,canoe,31.151,80.039,,
99,E3,10pg,canoe,12.769,84.378,,
100,E4,Dog-MAG,canoe,29.562,84.247,,
101,E5,18+,canoe,25.563,84.509,,
102,E6,18-,canoe,24.581,84.509,,
103,E7,100fg,cat1,9.279,76.227,,
104,E8,1pg,cat1,9.213,76.227,,
105,E9,10pg,cat1,8.984,76.095,,
106,E10,Dog-MAG,cat1,9.216,76.227,,
107,E11,18+,cat1,9.135,76.227,,
108,E12,18-,cat1,9.164,76.227,,
109,E13,100fg,cat2,19.100,86.482,,
110,E14,1pg,cat2,25.432,74.781,,
111,E15,10pg,cat2,12.332,86.482,,
112,E16,Dog-MAG,cat2,24.947,86.219,74.518,
113,E17,18+,cat2,23.527,86.350,,
114,E18,18-,cat2,24.263,86.219,74.649,
115,E19,100fg,cat3,19.911,87.665,,
116,E20,1pg,cat3,27.984,78.067,87.533,
117,E21,10pg,cat3,12.530,87.665,,
118,E22,Dog-MAG,cat3,12.599,87.533,,
119,E23,18+,cat3,26.029,87.533,78.067,
120,E24,18-,cat3,27.273,87.533,,
121,F1,100fg,canoe,19.805,84.378,,
122,F2,1pg,canoe,15.932,84.378,,
123,F3,10pg,canoe,12.588,84.378,,
124,F4,OR+,canoe,27.701,84.641,77.936,
125,F5,OR-,canoe,26.982,84.641,,
126,F6,Blank2,canoe,27.454,79.514,,
127,F7,100fg,cat1,8.954,76.227,,
128,F8,1pg,cat1,9.224,76.227,,
129,F9,10pg,cat1,9.038,76.095,,
130,F10,OR+,cat1,9.100,76.227,,
131,F11,OR-,cat1,9.234,76.227,,
132,F12,Blank2,cat1,9.267,76.227,,
133,F13,100fg,cat2,19.132,86.482,,
134,F14,1pg,cat2,15.983,79.119,,
135,F15,10pg,cat2,12.142,86.482,,
136,F16,OR+,cat2,25.666,74.912,,
137,F17,OR-,cat2,25.403,74.912,86.350,
138,F18,Blank2,cat2,25.081,78.988,74.781,62.028
139,F19,100fg,cat3,19.757,87.665,,
140,F20,1pg,cat3,27.561,77.936,87.402,
141,F21,10pg,cat3,13.427,87.665,,
142,F22,OR+,cat3,28.117,87.665,77.673,
143,F23,OR-,cat3,27.593,78.330,87.533,
144,F24,Blank2,cat3,28.247,78.330,,
145,G1,100fg,cherry,18.145,86.876,,
146,G2,1pg,cherry,14.881,86.876,,
147,G3,10pg,cherry,11.714,86.876,,
148,G4,Cat+MAG,cherry,19.887,76.884,,
149,G5,Cat-MAG,cherry,19.268,77.016,,
150,G6,Dog+MAG,cherry,17.974,76.621,,
151,G7,100fg,dog1,19.785,85.561,,
152,G8,1pg,dog1,15.929,85.561,,
153,G9,10pg,dog1,12.669,85.561,,
154,G10,Cat+MAG,dog1,26.308,85.430,,
155,G11,Cat-MAG,dog1,27.018,85.693,73.729,
156,G12,Dog+MAG,dog1,26.729,85.430,72.809,
157,G13,100fg,dog2,27.382,85.824,,
158,G14,1pg,dog2,35.251,79.514,,
159,G15,10pg,dog2,18.288,85.956,,
160,G16,Cat+MAG,dog2,36.594,85.956,77.936,
161,G17,Cat-MAG,dog2,36.175,78.462,85.956,
162,G18,Dog+MAG,dog2,34.501,79.645,85.824,72.940
163,G19,100fg,flower,19.266,84.641,,
164,G20,1pg,flower,25.894,60.976,77.410,75.701
165,G21,10pg,flower,13.640,84.509,,
166,G22,Cat+MAG,flower,25.272,84.509,,
167,G23,Cat-MAG,flower,26.816,74.255,,
168,G24,Dog+MAG,flower,25.993,84.378,72.940,
169,H1,100fg,cherry,18.296,86.745,,
170,H2,1pg,cherry,14.933,86.876,,
171,H3,10pg,cherry,11.615,87.007,,
172,H4,Dog-MAG,cherry,20.275,76.490,,
173,H5,18+,cherry,19.889,76.884,,
174,H6,18-,cherry,19.411,76.753,,
175,H7,100fg,dog1,19.924,85.561,,
176,H8,1pg,dog1,16.046,85.561,,
177,H9,10pg,dog1,12.653,85.693,,
178,H10,Dog-MAG,dog1,26.431,85.561,,
179,H11,18+,dog1,26.129,85.693,,
180,H12,18-,dog1,27.587,75.964,85.693,
181,H13,100fg,dog2,27.493,85.824,,
182,H14,1pg,dog2,32.288,74.255,78.593,
183,H15,10pg,dog2,18.733,85.824,,
184,H16,Dog-MAG,dog2,35.064,78.462,85.693,72.546
185,H17,18+,dog2,29.052,85.956,74.123,
186,H18,18-,dog2,32.729,79.251,72.414,
187,H19,100fg,flower,19.227,84.641,,
188,H20,1pg,flower,20.249,77.804,,
189,H21,10pg,flower,13.115,84.641,,
190,H22,Dog-MAG,flower,26.065,84.509,,
191,H23,18+,flower,24.289,84.641,,
192,H24,18-,flower,26.495,75.175,,
193,I1,100fg,cherry,18.203,86.876,,
194,I2,1pg,cherry,14.863,86.876,,
195,I3,10pg,cherry,11.450,87.007,,
196,I4,OR+,cherry,19.854,76.884,,
197,I5,OR-,cherry,19.900,76.884,,
198,I6,Blank2,cherry,19.303,76.621,,
199,I7,100fg,dog1,17.973,85.693,72.283,
200,I8,1pg,dog1,15.946,85.561,,
201,I9,10pg,dog1,12.980,85.561,,
202,I10,OR+,dog1,26.188,85.693,,
203,I11,OR-,dog1,27.098,85.693,,
204,I12,Blank2,dog1,27.592,74.123,85.693,
205,I13,100fg,dog2,27.210,85.824,,
206,I14,1pg,dog2,34.830,79.119,72.940,
207,I15,10pg,dog2,18.592,85.824,,
208,I16,OR+,dog2,32.254,85.824,,
209,I17,OR-,dog2,33.039,79.119,74.255,
210,I18,Blank2,dog2,34.284,79.382,73.071,
211,I19,100fg,flower,19.369,84.641,,
212,I20,1pg,flower,21.513,77.936,,
213,I21,10pg,flower,12.975,84.641,,
214,I22,OR+,flower,26.483,84.641,73.597,
215,I23,OR-,flower,26.598,73.992,84.641,
216,I24,Blank2,flower,27.043,74.386,,
217,J1,100fg,House,18.602,84.772,76.227,
218,J2,1pg,House,15.961,84.772,,
219,J3,10pg,House,12.813,84.641,,
220,J4,Cat+MAG,House,19.178,77.410,,
221,J5,Cat-MAG,House,19.134,77.542,,
222,J6,Dog+MAG,House,19.285,77.410,,
223,J7,100fg,Lincoln,19.331,87.533,,
224,J8,1pg,Lincoln,15.742,87.533,,
225,J9,10pg,Lincoln,11.988,87.533,,
226,J10,Cat+MAG,Lincoln,24.534,75.701,,
227,J11,Cat-MAG,Lincoln,23.969,75.832,,
228,J12,Dog+MAG,Lincoln,24.470,75.701,,
229,J13,100fg,lion,21.300,85.561,,
230,J14,1pg,lion,29.510,61.108,92.266,
231,J15,10pg,lion,14.512,85.561,,
232,J16,Cat+MAG,lion,29.323,85.298,77.147,
233,J17,Cat-MAG,lion,29.428,85.824,,
234,J18,Dog+MAG,lion,29.441,85.298,77.016,
235,J19,100fg,sailboat,20.086,87.665,,
236,J20,1pg,sailboat,28.374,73.071,,
237,J21,10pg,sailboat,13.423,87.533,,
238,J22,Cat+MAG,sailboat,28.578,87.402,74.649,
239,J23,Cat-MAG,sailboat,28.246,72.809,,
240,J24,Dog+MAG,sailboat,28.398,72.809,,
241,K1,100fg,House,17.981,84.772,76.358,
242,K2,1pg,House,15.963,84.641,,
243,K3,10pg,House,12.992,84.641,,
244,K4,Dog-MAG,House,19.064,77.410,,
245,K5,18+,House,18.945,77.147,85.035,
246,K6,18-,House,19.228,77.279,,
247,K7,100fg,Lincoln,19.439,87.533,,
248,K8,1pg,Lincoln,15.573,87.533,,
249,K9,10pg,Lincoln,12.120,87.533,,
250,K10,Dog-MAG,Lincoln,24.477,75.701,,
251,K11,18+,Lincoln,21.959,87.665,,
252,K12,18-,Lincoln,24.382,75.701,,
253,K13,100fg,lion,21.117,85.561,,
254,K14,1pg,lion,28.972,77.410,,
255,K15,10pg,lion,14.394,85.561,,
256,K16,Dog-MAG,lion,29.110,85.561,78.856,
257,K17,18+,lion,27.602,85.561,,
258,K18,18-,lion,29.540,79.382,,
259,K19,100fg,sailboat,19.946,87.665,,
260,K20,1pg,sailboat,23.985,72.283,,
